start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:16:00;2019-06-19 00:17:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:16:00;2019-06-19 00:17:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:16:00;2019-06-19 00:17:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:16:00;2019-06-19 00:17:00;1;120;128;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:16:00;2019-06-19 00:17:00;1;480;97;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:16:00;2019-06-19 00:17:00;1;0;-1;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;60;136;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;60;107;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;240;119;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;300;93;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:17:00;2019-06-19 00:18:00;1;120;104;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;60;125;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;300;122;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;60;113;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:18:00;2019-06-19 00:19:00;1;60;82;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;60;134;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;480;116;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;300;105;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:19:00;2019-06-19 00:20:00;1;60;78;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;60;130;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;60;120;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;300;123;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;180;104;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:20:00;2019-06-19 00:21:00;1;180;112;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:21:00;2019-06-19 00:22:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:21:00;2019-06-19 00:22:00;1;60;127;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:21:00;2019-06-19 00:22:00;1;120;110;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:21:00;2019-06-19 00:22:00;1;240;106;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
